Time (s),Position (rev),Velocity (rev/s)
1.0967254638671875e-05,-0.016112063080072403,-6.103515625e-05
0.05138850212097168,-0.016112662851810455,-6.103515625e-05
0.10264158248901367,-0.016119731590151787,-0.0001220703125
0.15447235107421875,-0.01611234061419964,-6.103515625e-05
0.20653176307678223,-0.01611299254000187,-6.103515625e-05
0.25902605056762695,-0.01611245982348919,-6.103515625e-05
0.3108329772949219,-0.01611311174929142,-6.103515625e-05
0.3628365993499756,-0.016112549230456352,-6.103515625e-05
0.4153895378112793,-0.016113245859742165,-6.103515625e-05
0.46748876571655273,-0.0161126758903265,-6.103515625e-05
0.5193386077880859,-0.01611211523413658,-6.103515625e-05
0.5713250637054443,-0.016114022582769394,-0.0001220703125
0.6233298778533936,-0.016120221465826035,-0.0001220703125
0.6758663654327393,-0.01612647995352745,-0.0001220703125
0.7285847663879395,-0.016132768243551254,-0.0001220703125
0.7806451320648193,-0.016112882643938065,-6.103515625e-05
0.8337385654449463,-0.016112394630908966,-6.103515625e-05
0.8863534927368164,-0.016113076359033585,-6.103515625e-05
0.9381566047668457,-0.016117926687002182,-0.0001220703125
0.9906346797943115,-0.016124170273542404,-0.0001220703125
1.042567491531372,-0.016130369156599045,-0.0001220703125
1.0943021774291992,-0.016136478632688522,-0.0001220703125
1.1454055309295654,-0.0161129143089056,-6.103515625e-05
1.196608304977417,-0.016112346202135086,-6.103515625e-05
1.2486402988433838,-0.01611435040831566,-0.0001220703125
1.3006401062011719,-0.016120489686727524,-0.0001220703125
1.3522825241088867,-0.016113024204969406,-6.103515625e-05
1.4038503170013428,-0.01611245609819889,-6.103515625e-05
1.4558942317962646,-0.01611311361193657,-6.103515625e-05
1.5080242156982422,-0.016118351370096207,-0.0001220703125
1.560567855834961,-0.016124609857797623,-0.0001220703125
1.612316608428955,-0.01611431874334812,-0.0001220703125
1.6643264293670654,-0.016120517626404762,-0.0001220703125
1.716642141342163,-0.01612670160830021,-0.0001220703125
1.7680368423461914,-0.016132870689034462,-0.0001220703125
1.8199455738067627,-0.016139069572091103,-0.0001220703125
1.8718090057373047,-0.01614525355398655,-0.0001220703125
1.9234859943389893,-0.01611282303929329,-6.103515625e-05
1.9755175113677979,-0.01611223816871643,-6.103515625e-05
2.026782989501953,-0.01611289009451866,-6.103515625e-05
2.0787010192871094,-0.016112320125102997,-6.103515625e-05
2.1314051151275635,-0.016113024204969406,-6.103515625e-05
2.1835036277770996,-0.016112469136714935,-6.103515625e-05
2.2355942726135254,-0.01611688733100891,-0.0001220703125
2.287550687789917,-0.016123086214065552,-0.0001220703125
2.33961820602417,-0.016129285097122192,-0.0001220703125
2.3918380737304688,-0.01613551378250122,-0.0001220703125
2.4438369274139404,-0.01614171266555786,-0.0001220703125
2.495918035507202,-0.016112852841615677,-6.103515625e-05
2.5480644702911377,-0.01611233688890934,-6.103515625e-05
2.600234031677246,-0.01611294224858284,-6.103515625e-05
2.651512861251831,-0.01611778512597084,-0.0001220703125
2.7035651206970215,-0.01612398400902748,-0.0001220703125
2.755413770675659,-0.01613018289208412,-0.0001220703125
2.8075435161590576,-0.016136381775140762,-0.0001220703125
2.859611988067627,-0.016142580658197403,-0.0001220703125
2.9115943908691406,-0.016148749738931656,-0.0001220703125
2.963270902633667,-0.016112634912133217,-6.103515625e-05
3.0155301094055176,-0.016112064942717552,-6.103515625e-05
3.068098545074463,-0.01611277647316456,-6.103515625e-05
3.1201469898223877,-0.01611221395432949,-6.103515625e-05
3.1722798347473145,-0.016118917614221573,-0.0001220703125
3.224304437637329,-0.016125116497278214,-0.0001220703125
3.2764110565185547,-0.016131330281496048,-0.0001220703125
3.3285140991210938,-0.01613752916455269,-6.103515625e-05
3.3806140422821045,-0.016112590208649635,-6.103515625e-05
3.432582378387451,-0.016113217920064926,-6.103515625e-05
3.4842827320098877,-0.01611264981329441,-6.103515625e-05
3.5360004901885986,-0.016117410734295845,-0.0001220703125
3.5880074501037598,-0.016123609617352486,-0.0001220703125
3.639857769012451,-0.01612977869808674,-0.0001220703125
3.691807985305786,-0.016112271696329117,-6.103515625e-05
3.7438111305236816,-0.0161173976957798,-0.0001220703125
3.7958052158355713,-0.01612359657883644,-0.0001220703125
3.8477182388305664,-0.016112254932522774,-6.103515625e-05
3.8995280265808105,-0.016112875193357468,-6.103515625e-05
3.9510490894317627,-0.01611228473484516,-6.103515625e-05
4.002367734909058,-0.01611289009451866,-6.103515625e-05
4.05398416519165,-0.016115261241793633,-0.0001220703125
4.105743885040283,-0.016121460124850273,-0.0001220703125
4.157733201980591,-0.016127659007906914,-0.0001220703125
4.210855484008789,-0.016133947297930717,-0.0001220703125
4.2625932693481445,-0.016140146180987358,-0.0001220703125
4.314682960510254,-0.016112195327878,-6.103515625e-05
4.367515802383423,-0.01611289009451866,-6.103515625e-05
4.419597387313843,-0.01611233688890934,-6.103515625e-05
4.471700668334961,-0.01611895114183426,-0.0001220703125
4.523823261260986,-0.0161251500248909,-0.0001220703125
4.5759053230285645,-0.01611284911632538,-6.103515625e-05
4.628000497817993,-0.016112294048070908,-6.103515625e-05
4.679807901382446,-0.01611293852329254,-6.103515625e-05
4.732400894165039,-0.01611241325736046,-6.103515625e-05
4.784396409988403,-0.016116585582494736,-0.0001220703125
4.836422920227051,-0.01612279936671257,-0.0001220703125
4.888582468032837,-0.01611294411122799,-6.103515625e-05
4.940600156784058,-0.016112398356199265,-6.103515625e-05
4.992798805236816,-0.016113055869936943,-6.103515625e-05
5.044600248336792,-0.016112472862005234,-6.103515625e-05
5.096386909484863,-0.016113152727484703,-6.103515625e-05
5.14849066734314,-0.008820850402116776,0.2342529296875
5.19963264465332,0.08058304339647293,2.22412109375
5.251349210739136,0.2044590711593628,2.20184326171875
5.304332733154297,0.41849297285079956,4.36981201171875
5.356394290924072,0.641405463218689,4.37945556640625
5.408514976501465,0.9280157089233398,5.20233154296875
5.460591077804565,1.1514896154403687,4.69140625
5.512510299682617,1.4300447702407837,4.90283203125
5.564798355102539,1.666233777999878,5.041259765625
5.616687297821045,1.9293562173843384,4.56134033203125
5.669055700302124,2.1819396018981934,5.32080078125
5.7207067012786865,2.4288816452026367,4.33953857421875
5.772519826889038,2.6953816413879395,5.51971435546875
5.8245062828063965,2.927614688873291,4.18890380859375
5.876385450363159,3.20837140083313,5.5316162109375
5.9284913539886475,3.432141065597534,4.2784423828125
5.980323553085327,3.719043254852295,5.4266357421875
6.032243967056274,3.9394936561584473,4.48876953125
6.0845277309417725,4.227169990539551,5.135498046875
6.1368889808654785,4.456159591674805,4.8145751953125
6.188989162445068,4.733832836151123,4.83709716796875
6.241087198257446,4.974318027496338,5.16888427734375
6.293262243270874,5.235421657562256,4.47540283203125
6.345286846160889,5.49507999420166,5.47412109375
6.397524356842041,5.737591743469238,4.23248291015625
6.449521541595459,6.014786720275879,5.6500244140625
6.501588582992554,6.238970756530762,4.1260986328125
6.553683280944824,6.5314764976501465,5.5765380859375
6.6060590744018555,6.750481605529785,4.31463623046875
6.658921003341675,7.048388481140137,5.331787109375
6.710993528366089,7.268299102783203,4.70867919921875
