Time (s),Position (rev),Velocity (rev/s)
1.2636184692382812e-05,-0.030608296394348145,0.00018310546875
0.052423954010009766,-0.030662938952445984,0.000244140625
0.10486102104187012,-0.0306579377502203,0.000244140625
0.15733790397644043,-0.030635397881269455,0.00128173828125
0.21008038520812988,-0.03061555325984955,0.0003662109375
0.2629561424255371,-0.030663708224892616,0.0
0.31531572341918945,-0.030615562573075294,0.0003662109375
0.3676614761352539,-0.03061712346971035,-0.000244140625
0.4202141761779785,-0.030619001016020775,-0.000244140625
0.4729907512664795,-0.03061467967927456,-0.00018310546875
0.5258383750915527,-0.03061467409133911,-0.00018310546875
0.5783989429473877,-0.030619937926530838,-0.000244140625
0.6308691501617432,-0.030632484704256058,-0.000244140625
0.6834378242492676,-0.030645031481981277,-0.000244140625
0.7361087799072266,-0.030657608062028885,-0.000244140625
0.7886307239532471,-0.03066401556134224,-0.000244140625
0.8408851623535156,-0.030614763498306274,-0.00018310546875
0.8927383422851562,-0.030620967969298363,-0.000244140625
0.9447288513183594,-0.03061496652662754,-0.00018310546875
0.9968984127044678,-0.030637025833129883,-0.00048828125
1.0490171909332275,-0.030575567856431007,0.0013427734375
1.1013216972351074,-0.030615514144301414,0.0003662109375
1.1535942554473877,-0.030600568279623985,0.00042724609375
1.2058124542236328,-0.03057967498898506,0.0003662109375
1.2578630447387695,-0.030663345009088516,-0.000732421875
1.310051441192627,-0.03065725602209568,0.00030517578125
1.3620374202728271,-0.03064109943807125,0.00030517578125
1.4140405654907227,-0.030660385265946388,0.00030517578125
1.4662845134735107,-0.030657704919576645,0.00030517578125
1.5186421871185303,-0.030641471967101097,0.00030517578125
1.5706901550292969,-0.030664656311273575,0.000244140625
1.6228797435760498,-0.030664289370179176,0.000244140625
1.675006628036499,-0.030653858557343483,0.00030517578125
1.7271878719329834,-0.03058961033821106,0.00244140625
1.7795701026916504,-0.030599653720855713,0.00042724609375
1.8317921161651611,-0.03066324070096016,-0.00103759765625
1.8839111328125,-0.030616337433457375,-0.0010986328125
1.9364604949951172,-0.030615922063589096,-6.103515625e-05
1.988687515258789,-0.030616596341133118,-6.103515625e-05
2.0406174659729004,-0.030620325356721878,-6.103515625e-05
2.0930066108703613,-0.030624061822891235,-6.103515625e-05
2.1450014114379883,-0.030662313103675842,0.0001220703125
2.1969711780548096,-0.030656084418296814,0.0001220703125
2.2496254444122314,-0.030658453702926636,0.0001220703125
2.3017327785491943,-0.030601227656006813,0.00225830078125
2.354295492172241,-0.03063923679292202,-0.001220703125
2.4069952964782715,-0.030614027753472328,0.00042724609375
2.4605331420898438,-0.030591066926717758,0.00042724609375
2.5130679607391357,-0.030614247545599937,0.00042724609375
2.5664827823638916,-0.030624696984887123,-0.000244140625
2.6191279888153076,-0.030637213960289955,-0.000244140625
2.6711483001708984,-0.030615095049142838,-0.00018310546875
2.7230629920959473,-0.030614737421274185,-0.00018310546875
2.7749459743499756,-0.030563483014702797,0.000244140625
2.8269846439361572,-0.030638158321380615,-0.00201416015625
2.8791751861572266,-0.030663251876831055,-0.0003662109375
2.9315502643585205,-0.03066309727728367,-0.000244140625
2.9838154315948486,-0.030616283416748047,0.001220703125
3.0360183715820312,-0.030624259263277054,-0.00030517578125
3.0880844593048096,-0.03061402216553688,-0.000244140625
3.140064239501953,-0.030614200979471207,-0.000244140625
3.192563056945801,-0.03061402402818203,-0.000244140625
3.244788408279419,-0.03066350892186165,-0.0003662109375
3.2967441082000732,-0.030663732439279556,-0.0003662109375
3.348808765411377,-0.030664045363664627,-0.0003662109375
3.4007914066314697,-0.03059602901339531,0.0018310546875
3.453437089920044,-0.030582105740904808,-0.0001220703125
3.5063676834106445,-0.030614372342824936,-0.00067138671875
3.5588979721069336,-0.030624279752373695,-0.00042724609375
3.611754894256592,-0.030663397163152695,-0.00030517578125
3.6645240783691406,-0.030614156275987625,0.00018310546875
3.7172839641571045,-0.03060409426689148,0.00018310546875
3.770043134689331,-0.030615966767072678,0.0001220703125
3.823503017425537,-0.030614163726568222,0.00018310546875
3.876437187194824,-0.03061661496758461,6.103515625e-05
3.9291787147521973,-0.030663469806313515,-0.0003662109375
3.9818077087402344,-0.030628561973571777,0.0008544921875
